ER,Enmienda Constitucional de Revisión
EC,Enmienda Constitucional
LC,Ley Complementar
LO,Ley Ordinária
LD,Ley Delegada
MP,Medida Provisional
DL,Decreto-Ley
DG,Decreto Legislativo
AD,Ato Declaratorio
DE,Decreto
RI,Regimiento Interno
RS,Resolución
AN,Ato Normativo
PO,Portaria
IN,Instrucción Normativa
PN,Parecer Normativo
PC,Portaria Conjunta
NO,Norma Obrigatoria
AC,Acordo
CO,Convenio
NE,Norma Oficial de Emergencia
TI,Tratado
PR,Protocolo
EM,Enmienda
NF,Norma Oficial
CV,Convención
DC,Declaración
OU,Otros
