acam,A Crítica (AM)
agac,A Gazeta (AC)
ages,A Gazeta (ES)
agcmt,A Gazeta de Cuiabá (MT)
ansc,A Notícia (SC)
atba,A Tarde (BA)
atam,Amazonas em Tempo (AM)
cb,Correio Braziliense
cbba,Correio da Bahia (BA)
cprs,Correio do Povo (RS)
dcsc,Diário Catarinense (SC)
dmgo,Diário da Manhã (GO)
dcmt,Diário de Cuiabá (MT)
dppe,Diário de Pernambuco (PE)
dnce,Diário do Nordeste (CE)
emmg,Estado de Minas (MG)
fsp,Folha de S. Paulo
gaal,Gazeta de Alagoas (AL)
gm,Gazeta Mercantil
gppr,Gazeta do Povo (PR)
hdmg,Hoje em Dia (MG)
jtsp,Jornal da Tarde (SP)
jdb,Jornal de Brasília
jb,Jornal do Brasil
jcpe,Jornal do Commercio (PE)
jcrj,Jornal do Commercio (RJ)
jtto,Jornal do Tocantins (TO)
odrj,O Dia (RJ)
oesp,O Estado de S. Paulo
oema,O Estado do Maranhão (MA)
og,O Globo
olpa,O Liberal (PA)
opgo,O Popular (GO)
opce,O Povo (CE)
tirj,Tribuna de Imprensa (RJ)
tnrn,Tribuna do Norte (RN)
verj,Valor Econômico (RJ)
zhrs,Zero Hora (RS)
re,Revista Época
ri,Revista IstoÉ
rv,Revista Veja
