Symbol	ISSN in use	Print ISSN	E-ISSN	Collection Name	Acronym	Short Title	Title	Short Title-NLM	Publisher	URL journal page	License
mex	0036-3634	0036-3634		Mexico	spm	Salud pública Méx	Salud Pública de México		Instituto Nacional de Salud Pública	http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0036-3634&lng=en	by-nc-sa/4.0
mex	1665-3521	1665-3521		Mexico	sv	Superf. vacío	Superficies y vacío		Sociedad Mexicana de Ciencia y Tecnología de Superficies y Materiales A.C.	http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1665-3521&lng=en	by-nc/4.0
scl	0102-6909	0102-6909	1806-9053	Brazil	rbcsoc	Rev. bras. Ci. Soc.	Revista Brasileira de Ciências Sociais		Associação Nacional de Pós-Graduação e Pesquisa em Ciências Sociais - ANPOCS	http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-6909&lng=en	by/4.0
spa	1851-8265	1669-2381	1851-8265	Public Health	scol	Salud Colectiva	Salud Colectiva	Salud Colect	Universidad Nacional de Lanús	http://www.scielosp.org/scielo.php?script=sci_serial&pid=1851-8265&lng=en	by-nc/4.0
spa	0036-3634	0036-3634		Public Health	spm	Salud pública Méx	Salud Pública de México		Instituto Nacional de Salud Pública	http://www.scielosp.org/scielo.php?script=sci_serial&pid=0036-3634&lng=en	by-nc-sa/4.0
ven	0798-0752	0798-0752		Venezuela	avn	An Venez Nutr	Anales Venezolanos de Nutrición		Fundación Bengoa	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-0752&lng=en	
ven	0004-0622	0004-0622		Venezuela	alan	ALAN	Archivos Latinoamericanos de Nutrición		Sociedad Latinoamericana de Nutrición	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0004-0622&lng=en	
ven	0798-0264	0798-0264		Venezuela	avft	AVFT	Archivos Venezolanos de Farmacología y Terapéutica		Sociedad Venezolana de Farmacológia  y Farmacológia Clínica y Terapéutica. Escuela de Medicina; José Maria Vargas. Cátedra de Farmacológia, piso 3, esquina san jacinto, San José Caracas	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-0264&lng=en	
ven	0004-0649	0004-0649		Venezuela	avpp	Arch Venez Puer Ped	Archivos Venezolanos de Puericultura y Pediatría		Sociedad Venezolana de Puericultura y Pediatría	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0004-0649&lng=en	
ven	0254-1637	0254-1637		Venezuela	ag	Argos	Argos		División de Ciencias Sociales y Humanidades; Universidad Simón Bolívar	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0254-1637&lng=en	
ven	1316-3361	1316-3361		Venezuela	ba	Bioagro	Bioagro		"Decanato de Agronomía de la Universidad Centroccidental ""Lisandro Alvarado"" (UCLA)"	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1316-3361&lng=en	
ven	0798-9709	0798-9709		Venezuela	bl	Boletin de lingüistica	Boletin de Linguistica		FACES - UCV	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-9709&lng=en	
ven	0376-723X	0376-723X		Venezuela	imme	IMME	Boletín Técnico		Instituto de Materiales y Modelos Estructurales.Facultad de Ingenieria. Universidad Central de Venezuela.	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0376-723X&lng=en	
ven	1690-4648	1690-4648		Venezuela	bmsa	Bol Mal Salud Amb	Boletín de Malariología y Salud Ambiental		Instituto de Altos Estudios en Salud Pública Dr. Arnoldo Gabaldon	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1690-4648&lng=en	
ven	1690-3293	1690-3293		Venezuela	cs	Comunidad y Salud	Comunidad y Salud		Universidad de Carabobo	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1690-3293&lng=en	
ven	1012-2508	1012-2508		Venezuela	cdc	CDC	Cuadernos del Cendes		Universidad Central de Venezuela, Centro de Estudios del Desarrollo.	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1012-2508&lng=en	
ven	0798-4324	0798-4324		Venezuela	epi	EPISTEME	EPISTEME		INSTITUTO DE FILOSOFIA UCV	http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-4324&lng=en	
