1992|S0034-89101992000400004|000 crianças brasileiras. São Paulo, , 
2002|S0034-89102002000700017|000 crianças brasileiras. São Paulo, , 
1995|S0102-311X1995000200008|000 Crianças Brasileiras. São Paulo, , 
2003|S0102-311X2003000500020|000 Crianças Brasileiras. São Paulo, , 
2003|S0102-311X2003000600025|000 Crianças Brasileiras. São Paulo, , 
2003|S0102-311X2003000200035|007. Rio de Janeiro, , 
2006|S1415-790X2006000300004|02. Cary, , 
2011|S0100-54052011000200002|02i (software). New York, , 
2000|S1415-47572000000100039|03Cary, , 
2010|S1679-39512010000400010|, , 05015-901
2010|S0100-736X2010001200014|05508-900, , Brasil
2011|S1806-66902011000300015|05, , 
2003|S1413-70542003000500015|&#091;S.l.&#093;, , 
2003|S1413-70542003000500015|&#091;S.l.&#093;, , 
2003|S1415-790X2003000300006|0. Chicago, , 
2006|S1415-790X2006000100015|0 Chicago, , 
2005|S0102-311X2005000100033|0. Lyon, , 
2012|S0100-67622012000200006|0, , 
2008|S1807-59322008000500014|0stanbul, , 
2010|S1807-59322010000900018|0stanbul, , Turkey
2010|S1807-86212010000300003|0. Sunderland, , 
2010|S1516-35982010001200028|0. Tabelas brasileiras de composição de alimentos para bovinos. Viçosa, MG, , 
2011|S0102-77862011000400007|0 user's guide. Trieste, , 
2010|S1517-83822010000400023|0zmir, , Turkey
2011|S1679-87592011000500005|0zmir, , Turkey
2005|S0102-05362005000300007|100, 2.ed.ver.atual.). Campinas, , 
2009|S1677-04202009000200002|102:115-124, , 
2012|S0034-737X2012000200004|, , 102
2009|S0074-02762009000300020|, , 102
2009|S1677-04202009000200002|103:19587-19592, , 
2000|S0034-71402000000100002|103, , 
2007|S0102-311X2007000500002|103. San Francisco, , 
2003|S0074-02762003000500004|10-47, , 
2009|S1677-04202009000200002|1058:121-140, , 
2012|S0100-736X2012000300010|105, , 
1998|S0074-02761998000700006|106, , 
1997|S0102-86501997000100006|, , 107
2010|S1677-04202010000100008|109173, , 
2011|S0074-02762011000500020|, , 109
2004|S1516-73132004000200009|10. ed. Campinas, , 
2011|S1516-35982011000500009|10.ed. Philadelphia, , 
2011|S0100-204X2011001000011|10.ed. Porto Alegre, , 
2011|S0100-204X2011001000020|10.ed. Porto Alegre, , 
2011|S0100-204X2011001000036|10.ed. Porto Alegre, , 
2001|S0102-311X2001000400032|10ª Ed. Rio de Janeiro, , 
1995|S0101-47141995000100017|10. ed. São Paulo, , 
2011|S0103-20032011000400006|10ª ed. São Paulo, , 
2012|S0103-73312012000100020|10 ed. São Paulo, , 
2012|S1414-32832012000100014|10.ed. São Paulo, , 
2006|S0102-311X2006001200018|10ª Reimpresión. México DF, , 
2006|S0102-311X2006000100013|10ª Revisão. São Paulo, , 
2007|S0102-311X2007000400012|10ª Revisão. São Paulo, , 
1964|S0006-87051964000100022|, , 10
2010|S0034-737X2010000200016|, , 10
2004|S0100-46702004000100002|10, , 
2009|S0100-54052009000400005|, , 10
2012|S0100-736X2012000300010|10, , 
1994|S0101-47141994000100009|10, , 
2009|S0104-56872009000400004|, , 10
2009|S1516-73132009000300008|10, , 
2010|S0066-782X2010001200002|10th ed. New York, , 
2006|S0102-311X2006000300013|10th Rev. Geneva, , 
2007|S1516-35982007000500010|10Washington, , 
2009|S0103-97332009000500008|, , 111
2007|S0102-311X2007000500014|1.121/MS. Pacto da atenção básica 2002. Brasília, , 
2002|S0102-311X2002000700004|11-23, Geneva, , 
2002|S1413-81232002000100008|11:257-265, , 
2009|S0100-69912009000500006|, , 114
2002|S0074-02762002000600022|115-118, , 
2009|S1677-04202009000200002|11:59-66, , 
2012|S0100-736X2012000300010|117, , 
2009|S1519-566X2009000600011|, , 117
2009|S1982-45132009000200007|, , 117
2009|S1677-04202009000200002|119:355-364, , 
1986|S0034-89101986000400008|11ª ed. Rio de Janeiro, , 
2011|S0100-15742011000200007|11.ed. Rio de Janeiro, , 
2002|S0101-73302002008100012|11. ed. Rio de Janeiro, , 
2004|S0102-311X2004000100043|11ª Ed. Rio de Janeiro, , 
2012|S1415-43662012000400015|11.ed. Rio de Janeiro, , 
2002|S1516-35982002000900001|11.ed.Rio de Janeiro, , 
2006|S0100-204X2006000200010|11.ed. São Paulo, , 
2009|S0100-204X2009000400007|11.ed. São Paulo, , 
2004|S0102-69092004000200001|11). Paris, , 
2009|S0037-86822009000600013|, , 11
2011|S0074-02762011000800014|, , 11
2009|S0100-40422009000400031|, , 11
2009|S0104-11692009000700008|, , 11
2010|S0104-14282010000300007|, , 11
2012|S1415-47572012000300003|, , 11
2003|S1415-65552003000400005|11, , 
2009|S1678-69712009000600004|, , 11
2010|S0102-33062010000200010|12/06/2009, , 
2011|S0074-02762011000100018|, , 120
2011|S0102-77862011000200007|, , 120
