arg|0325-2957|Acta bioquímica clínica latinoamericana
arg|1851-3743|Acta toxicológica argentina
arg|1668-298X|Agriscientia
arg|0002-7014|Ameghiniana
arg|0365-0375|Anales de la Asociación Química Argentina
arg|1851-4669|Anclajes
arg|1668-8090|Andes
arg|1851-1686|Anuario de investigaciones
arg|1851-9636|Análisis filosófico
arg|0325-0075|Archivos argentinos de pediatría
arg|1853-6379|Argos
arg|1851-1694|Avá
arg|1852-6233|BAG. Journal of basic and applied genetics
arg|0327-9545|Biocell
arg|1851-2372|Boletín de la Sociedad Argentina de Botánica
arg|0524-9767|Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani
arg|1850-2067|Ciencia del suelo
arg|1851-1716|Ciencia, docencia y tecnología
arg|1851-1724|Circe de clásicos y modernos
arg|1850-275X|Cuadernos de antropología social
arg|1852-5768|Cuadernos de herpetología
arg|0325-1195|Cuadernos de historia de España
arg|1668-8104|Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy
arg|1852-9615|Cuadernos del CILHA
arg|1853-3523|Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos
arg|1853-3175|Cuyo
arg|0011-6793|Darwiniana
arg|1852-7337|Diaeta
arg|1851-3727|Documentos y aportes en administración pública y gestión estatal
arg|1667-782X|Ecología austral
arg|0073-3407|El hornero
arg|1669-2721|Enfoques
arg|1852-1568|Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba
arg|1851-9490|Estudios de filosofía práctica e historia de las ideas
arg|1851-1732|Estudios y perspectivas en turismo
arg|1852-7744|Geoacta
arg|1668-3498|InVet
arg|1851-1740|Información, cultura y sociedad
arg|1852-3862|Insuficiencia cardíaca
arg|1668-7027|Interdisciplinaria
arg|1850-373X|Intersecciones en antropología
arg|1852-5962|Kurtziana
arg|1669-5704|La aljaba
arg|1853-1296|La zaranda de ideas
arg|0327-0793|Latin American applied research
arg|1851-4979|Latin American journal of sedimentology and basin analysis
arg|0327-9383|Mastozoología neotropical
arg|0025-7680|Medicina (Buenos Aires)
arg|1851-3751|Memoria americana
arg|1850-468X|Meteorologica
arg|1853-001X|Mora (Buenos Aires)
arg|1852-7329|Multequina
arg|1515-5994|Mundo agrario
arg|1852-4478|Olivar
arg|1851-8893|Orientación y sociedad
arg|1852-4508|Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural
arg|1851-5657|Phyton (Buenos Aires)
arg|1852-8562|Población y sociedad
arg|1851-9601|Postdata
arg|1852-0499|Prismas
arg|1851-9504|Prohistoria
arg|1851-3026|Quebracho (Santiago del Estero)
arg|1851-2879|Quinto sol
arg|1851-7072|Redes
arg|1669-9041|Revista Escuela de Historia
arg|1851-3123|Revista Pilquen
arg|1853-1970|Revista SAAP
arg|1669-726X|Revista TEFROS
arg|1850-3748|Revista argentina de cardiología
arg|2250-639X|Revista argentina de cirugía 
arg|1851-300X|Revista argentina de dermatología
arg|1851-3034|Revista argentina de endocrinología y metabolismo
arg|0325-7541|Revista argentina de microbiología
arg|1850-1532|Revista argentina de neurocirugía
arg|1852-9992|Revista argentina de radiología
arg|1669-3248|Revista argentina de sociología
arg|1851-7587|Revista de ciencia y tecnología
arg|1853-1784|Revista de historia del derecho
arg|1852-7434|Revista de la Asociación Argentina de Ortopedia y Traumatología
arg|1853-6360|Revista de la Asociación Argentina de Sedimentología
arg|0004-4822|Revista de la Asociación Geológica Argentina
arg|1669-9513|Revista de la Facultad de Agronomía
arg|0373-5680|Revista de la Sociedad Entomológica Argentina
arg|0041-6932|Revista de la Unión Matemática Argentina
arg|1853-0400|Revista del Museo Argentino de  Ciencias Naturales
arg|1850-6666|Revista electrónica de investigación en educación en ciencias
arg|1850-0013|Revista iberoamericana de ciencia tecnología y sociedad
arg|1851-3018|Revista industrial y agrícola de Tucumán
arg|1852-7353|Revista latinoamericana de filosofía
arg|1851-9628|Runa
arg|1851-8265|Salud colectiva
arg|1666-9479|Serie correlación geológica
arg|1853-7081|Sociedad y religión
arg|1852-1606|Sociohistórica
arg|1852-7310|Subjetividad y procesos cognitivos
arg|0328-1205|Synthesis (La Plata)
arg|0327-5094|Temas medievales
arg|1852-1428|The Journal of Argentine Chemical Society
arg|1514-6871|Trabajo y sociedad
arg|1666-485X|Tópicos
arg|1668-8708|Visión de futuro
chl|0717-6996|ARQ (Santiago)
chl|1726-569X|Acta bioethica
chl|0717-6848|Acta literaria
chl|0365-2807|Agricultura Técnica
chl|0718-7181|Aisthesis
chl|0718-2201|Alpha (Osorno)
chl|0718-686X|Anales del Instituto de la Patagonia
chl|0718-7106|Andean geology
chl|0301-732X|Archivos de medicina veterinaria
chl|0718-0462|Atenea (Concepción)
chl|0716-9760|Biological Research
chl|0365-9402|Boletín chileno de parasitología
chl|0718-9303|Boletín de filología
chl|0366-1644|Boletín de la Sociedad Chilena de Química
chl|0718-6894|Boletín del Museo Chileno de Arte Precolombino
chl|0717-9200|Bosque (Valdivia)
chl|0718-8471|Byzantion nea hellás
chl|0718-5839|Chilean journal of agricultural research
chl|0717-7356|Chungará (Arica)
chl|0718-1620|Ciencia e investigación agraria
chl|0717-9553|Ciencia y enfermería
chl|0717-554X|Cinta de moebio
chl|0717-6821|Cuadernos de economía
chl|0719-1243|Cuadernos de historia (Santiago)
chl|0719-0646|Cubo (Temuco)
chl|0250-7161|EURE (Santiago)
chl|0717-3458|Electronic Journal of Biotechnology
chl|0718-1043|Estudios atacameños
chl|0718-5200|Estudios constitucionales
chl|0718-5286|Estudios de economía
chl|0071-1713|Estudios filológicos
chl|0718-0705|Estudios pedagógicos (Valdivia)
chl|0718-5006|Formación universitaria
chl|0717-6538|Gayana (Concepción)
chl|0717-6643|Gayana. Botánica
chl|0717-7194|Historia (Santiago)
chl|0718-3429|Idesia (Arica)
chl|0718-0764|Información tecnológica
chl|0718-3305|Ingeniare. Revista chilena de ingeniería
