<FONT FACE="Symbol">&</FONT>|&
<FONT FACE="Symbol">[</FONT>|[
<FONT FACE="Symbol">]</FONT>|]
<FONT FACE="Symbol">´</FONT>|×
<FONT FACE="Symbol">¸</FONT>|÷
<FONT FACE="Symbol">&lt;</FONT>|&lt;
<FONT FACE="Symbol">&gt;</FONT>|&gt;
<FONT FACE="Symbol">±</FONT>|±
<FONT FACE="Symbol">×</FONT>|·
<FONT FACE="Symbol">÷</FONT>|¦
<FONT FACE="Symbol">¢</FONT>|´
<FONT FACE="Symbol">¤</FONT>|/
<FONT FACE="Symbol">°</FONT>|°
<FONT FACE="Symbol">·</FONT>|·
<FONT FACE="Symbol">¼</FONT>|...
<FONT FACE="Symbol">½</FONT>|¦
<FONT FACE="Symbol">²</FONT>|"
<FONT FACE="Symbol">â</FONT>|®
<FONT FACE="Symbol">ä</FONT>|TM
<FONT FACE="Symbol">ã</FONT>|©
<FONT FACE="Symbol">ç</FONT>|¦
<FONT FACE="Symbol">ê</FONT>|¦
<FONT FACE="Symbol">ï</FONT>|¦
<FONT FACE="Symbol">Ó</FONT>|©
<FONT FACE="Symbol">Ò</FONT>|®
<FONT FACE="Symbol">Ô</FONT>|TM
<FONT FACE="Symbol">ô</FONT>|¦
<FONT FACE="Symbol">ú</FONT>|¦
<FONT FACE="Symbol">Ù</FONT>|^
<FONT FACE="Symbol">Û</FONT>|&lt;=&gt;
<FONT FACE="Symbol">Ü</FONT>|&lt;=
<FONT FACE="Symbol">«</FONT>|&lt;-&gt;
<FONT FACE="Symbol">»</FONT>|~
<FONT FACE="Symbol">£</FONT>|&lt;=
<FONT FACE="Symbol">¬</FONT>|&lt;-
<FONT FACE="Symbol">®</FONT>|-&gt;
<FONT FACE="Symbol">¾</FONT>|--
<FONT FACE="Symbol">³</FONT>|&gt;=
