ER,Emenda Constitucional de Revisão
EC,Emenda Constitucional
LC,Lei Complementar
LO,Lei Ordinária
LD,Lei Delegada
MP,Medida Provisória
DL,Decreto-Lei
DG,Decreto Legislativos
AD,Ato Declaratório
DE,Decreto
RI,Regimento Interno
RS,Resolução
AN,Ato Normativo
PO,Portaria
IN,Instrução Normativa
PN,Parecer Normativo
PC,Portaria Conjunta
NO,Norma Obrigatoria
AC,Acordo
CO,Convenio
NE,Norma Oficial de Emergencia
TI,Tratado
PR,Protocolo
EM,Emenda
NF,Norma Oficial
CV,Convenção
OU,Outros
