amv,"Archivos de medicina veterinaria"
ejb,"EJB Electronic Journal of Biotechnology"
efilolo,"Estudios filológicos"
eure,"EURE (Santiago)"
lyl,"Literatura y lingüística"
pd,"Parasitología al día"
proy,"Proyecciones (Antofagasta)"
rcp,"Revista chilena de pediatría"
rgch,"Revista geológica de Chile"
rma,"Revista de matemáticas aplicadas"
rmc,"Revista médica de Chile"
rmusic,"Revista musical chilena"
rca,"Revista chilena de anatomía"
rehj,"Revista de estudios histórico-jurídicos"
bres,"Biological Research"
