ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)|Arq Bras Cir Dig|ABCD, arq. bras. cir. dig.|abcd|0102-6720|0102-6720||Colégio Brasileiro de Cirurgia Digestiva
Acta Amazonica||Acta Amaz.|aa|0044-5967|0044-5967||Instituto Nacional de Pesquisas da Amazônia
Acta Botanica Brasilica||Acta Bot. Bras.|abb|0102-3306|0102-3306||Sociedade Botânica do Brasil
Acta Cirurgica Brasileira|Acta Cir Bras|Acta Cir. Bras.|acb|0102-8650|0102-8650|1678-2674|Sociedade Brasileira para o Desenvolvimento da Pesquisa em Cirurgia
Acta Limnologica Brasiliensia||Acta Limnol. Bras.|alb|2179-975X||2179-975X|Associação Brasileira de Limnologia
Acta Ortopédica Brasileira|Acta Ortop Bras|Acta ortop. bras.|aob|1413-7852|1413-7852||Sociedade Brasileira de Ortopedia e Traumatologia
Acta Paulista de Enfermagem||Acta paul. enferm.|ape|0103-2100|0103-2100|1982-0194|Escola Paulista de Enfermagem, Universidade Federal de São Paulo
Acta Scientiarum. Agronomy||Acta Sci., Agron.|asagr|1807-8621||1807-8621|Editora da Universidade Estadual de Maringá - EDUEM
Acta Scientiarum. Animal Sciences||Acta Sci., Anim. Sci.|asas|1807-8672||1807-8672|Editora da Universidade Estadual de Maringá - EDUEM
Afro-Ásia||Afro-Ásia|afro|0002-0591|0002-0591||Universidade Federal da Bahia
Alea : Estudos Neolatinos||Alea|alea|1517-106X|1517-106X||Programa de Pos-Graduação em Letras Neolatinas, Faculdade de Letras -UFRJ
Alfa : Revista de Linguística (São José do Rio Preto)||Alfa, rev. linguíst. (São José Rio Preto)|alfa|1981-5794||1981-5794|Universidade Estadual Paulista Júlio de Mesquita Filho
Ambiente & Sociedade||Ambient. soc.|asoc|1414-753X|1414-753X|1809-4422|ANPPAS - Revista Ambiente e Sociedade
Ambiente Construído||Ambient. constr.|ac|1678-8621||1678-8621|Associação Nacional de Tecnologia do Ambiente Construído - ANTAC
