"Andorra"	"Andorra"	"Andorra"
"U Arab Emirates"	"Emirados Árabes Unidos"	"Emiratos Árabes Unidos"
"Afghanistan"	"Afeganistão"	"Afganistán"
"Antigua and Barbuda"	"Antígua e Barbuda"	"Antigua y Barbuda"
"Anguilla"	"Anguilla"	"Anguilla"
"Albania"	"Albânia"	"Albania"
"Armenia"	"Armênia"	"Armenia"
"Netherlands Antilles"	"Antilhas Holandesas"	"Antillas Holandesas"
"Angola"	"Angola"	"Angola"
"Argentine"	"Argentina"	"Argentina"
"American Samoa"	"Samoa americana"	"Samoa Americana"
"Austria"	"Áustria"	"Austria"
"Australia"	"Austrália"	"Australia"
"Aruba"	"Aruba"	"Aruba"
"Azerbaidjan"	"Azerbaijão"	"Azerbaiyán"
"Bosnia-Herzegovina"	"Bósnia-Herzegovina"	"Bosnia-Herzegovina"
"Barbados"	"Barbados"	"Barbados"
"Bangladesh"	"Bangladesh"	"Bangladés"
"Belgium"	"Bélgica"	"Bélgica"
"Burkina Faso"	"Burkina Faso"	"Burkina Faso"
"Bulgary"	"Bulgária"	"Bulgaria"
"Bahrain"	"Bahrain"	"Baréin"
"Burundi"	"Burundi"	"Burundi"
"Benin"	"Benin"	"Benín"
"Bermuda"	"Bermudas"	"Bermudas"
"Brunei"	"Brunei"	"Brunéi"
"Bolivia"	"Bolívia"	"Bolivia"
"Brazil"	"Brasil"	"Brasil"
"Bahamas"	"Bahamas"	"Bahamas"
"Bhutan"	"Butão"	"Bután"
"Botswana"	"Botsuana"	"Botsuana"
"Belarus"	"Belarus"	"Bielorrusia"
"Belize"	"Belize"	"Belice"
"Canada"	"Canadá"	"Canadá"
"Central African Republic"	"República Centro-Africana"	"República Centroafricana"
"Congo"	"Congo"	"Congo"
"Switzerland"	"Suíça"	"Suiza"
"Ivory Coast"	"Costa do Marfim"	"Costa de Marfil"
"Cook Islands"	"Ilhas Cook"	"Islas Cook"
"Chile"	"Chile"	"Chile"
"Cameroon"	"Camarões"	"Camerún"
"People's Republic of China"	"República Popular da China"	"República Popular de China"
"Colombia"	"Colômbia"	"Colombia"
"Costa Rica"	"Costa Rica"	"Costa Rica"
"Czech Republic"	"República Tcheca"	"República Checa"
"Slovakia"	"Eslováquia"	"Eslovaquia"
"Cuba"	"Cuba"	"Cuba"
"Cape Verde"	"Cabo Verde"	"Cabo Verde"
"Cyprus"	"Chipre"	"Chipre"
"Germany"	"Alemanha"	"Alemania"
"Djibouti"	"Djibouti"	"Yibuti"
"Denmark"	"Dinamarca"	"Dinamarca"
"Dominica"	"Dominica"	"Dominica"
"Dominican Republic"	"República Dominicana"	"República Dominicana"
"Algeria"	"Argélia"	"Argelia"
"Ecuador"	"Equador"	"Ecuador"
"Estonia"	"Estônia"	"Estonia"
"Egypt"	"Egito"	"Egipto"
"Eritrea"	"Eritreia"	"Eritrea"
"Spain"	"Espanha"	"España"
"Ethiopia"	"Etiópia"	"Etiopía"
"Finland"	"Finlândia"	"Finlandia"
"Fiji"	"Fiji"	"Fiji"
"Falkland Islands"	"Ilhas Malvinas"	"Islas Malvinas"
"Micronesia"	"Micronésia"	"Micronesia"
"Faroe Islands"	"Ilhas Faroe"	"Islas Feroe"
"France"	"França"	"Francia"
"Gabon"	"Gabão"	"Gabón"
"Grenada"	"Granada"	"Granada"
"Georgia"	"Georgia"	"Georgia"
"French Guyana"	"Guiana francesa"	"Guayana Francesa"
"Ghana"	"Gana"	"Ghana"
"Gambia"	"Gâmbia"	"Gambia"
"Guinea"	"Guiné"	"Guinea"
"Guadeloupe"	"Guadalupe"	"Guadalupe"
"Equatorial Guinea"	"Guiné Equatorial"	"Guinea Ecuatorial"
"Greece"	"Grécia"	"Grecia"
"Guatemala"	"Guatemala"	"Guatemala"
"Guinea Bissau"	"Guiné-Bissau"	"Guinea-Bisáu"
"Guyana"	"Guiana"	"Guyana"
"Hong Kong"	"Hong Kong"	"Hong Kong"
"Honduras"	"Honduras"	"Honduras"
"Croatia"	"Croácia"	"Croatia"
"Haiti"	"Haiti"	"Haití"
"Hungary"	"Hungria"	"Hungría"
"Indonesia"	"Indonésia"	"Indonesia"
"Ireland"	"Irlanda"	"Irlanda"
"Israel"	"Israel"	"Israel"
"India"	"Índia"	"India"
"Iraq"	"Iraque"	"Irak"
"Iran"	"Irã"	"Irán"
"Iceland"	"Islândia"	"Islandia"
"Italy"	"Itália"	"Italia"
"Jamaica"	"Jamaica"	"Jamaica"
"Jordan"	"Jordânia"	"Jordania"
"Japan"	"Japão"	"Japón"
"Kenya"	"Quênia"	"Kenia"
"Kyrgyzstan"	"Quirguistão"	"Kirguistán"
"Cambodia"	"Camboja"	"Camboya"
"Saint Kitts and Nevis"	"São Cristóvão e Névis"	"San Cristóbal y Nieves"
"North Korea"	"Coréia do Norte"	"Corea del Norte"
"South Korea"	"Coréia do Sul"	"Corea del Sur"
"Kuwait"	"Kuweit"	"Kuwait"
"Cayman Islands"	"Ilhas Cayman"	"Islas Caimán"
"Kazakhstan"	"Cazaquistão"	"Kazajistán"
"Laos"	"Laos"	"Laos"
"Lebanon"	"Líbano"	"Líbano"
"Saint Lucia"	"Santa Lúcia"	"Santa Lucía"
"Liechtenstein"	"Liechtenstein "	"Liechtenstein"
"Sri Lanka"	"Sri Lanka"	"Sri Lanka"
"Liberia"	"Libéria"	"Liberia"
"Lesotho"	"Lesoto"	"Lesoto"
"Lithuania"	"Lituânia"	"Lituania"
"Luxembourg"	"Luxemburgo"	"Luxemburgo"
"Latvia"	"Letônia"	"Letonia"
"Libya"	"Líbia"	"Libia"
"Morocco"	"Marrocos"	"Marruecos"
"Madagascar"	"Madagascar"	"Madagascar"
"Marshall Islands"	"Ilhas Marshall"	"Islas Marshall"
"Macedonia"	"Macedônia"	"Macedonia"
"Mali"	"Mali"	"Malí"
"Myanmar"	"Mianmar"	"Myanmar"
"Mongolia"	"Mongólia"	"Mongolia"
"Macau"	"Macau"	"Macau"
"Martinique"	"Martinica"	"Martinica"
"Mauritania"	"Mauritânia"	"Mauritania"
"Malta"	"Malta"	"Malta"
"Mauritius"	"Maurício"	"Mauricio"
"Maldives"	"Maldivas"	"Maldivas"
"Malawi"	"Malavi"	"Malaui"
"Mexico"	"México"	"México"
"Malaysia"	"Malásia"	"Malasia"
