"Universidad de Buenos Aires"	"Avellaneda"	"Buenos Aires"	"AR"
"Universidad Nacional de Avellaneda"	"Avellaneda"	"Buenos Aires"	"AR"
"Universidad Tecnológica Nacional"	"Avellaneda"	"Buenos Aires"	"AR"
"Universidad Nacional del Sur"	"Bahía Blanca"	"Buenos Aires"	"AR"
"Academia Nacional de Medicina de Buenos Aires"	"Buenos Aires"	"Buenos Aires"	"AR"
"Administración Nacional de Laboratorios e Instituto de Salud"	"Buenos Aires"	"Buenos Aires"	"AR"
"Comisión de Investigación Científicas de la Provincia de Buenos Aires"	"Buenos Aires"	"Buenos Aires"	"AR"
"Comisión Nacional de Energía Atómica"	"Buenos Aires"	"Buenos Aires"	"AR"
"Consejo Nacional de Investigación Científicas y Tecnológicas"	"Buenos Aires"	"Buenos Aires"	"AR"
"Escuela Argentina de Negocios"	"Buenos Aires"	"Buenos Aires"	"AR"
"ESEADE Instituto Universitario"	"Buenos Aires"	"Buenos Aires"	"AR"
"Facultad Latinoamericana de Ciencias Sociales"	"Buenos Aires"	"Buenos Aires"	"AR"
"Hospital de Clínicas José de San Martín"	"Buenos Aires"	"Buenos Aires"	"AR"
"Hospital de Niños Dr. Ricardo Gutiérrez"	"Buenos Aires"	"Buenos Aires"	"AR"
"Hospital de Pediatría Garrahan"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto de Astronomía y Física del Espacio"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto de Biología y Medicina Experimental"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto de Enseñanza Superior del Ejército"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto de Investigación en Ciencias y Tecnología de Materiales"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto de Investigación Físico-Químicas Teoría y Aplicadas"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Nacional de Tecnología Agropecuaria"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Tecnológico Buenos Aires"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Universitario CEMIC"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Universitario de Cs. de la Salud Fundación Barceló"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Universitario de Gendarmería Nacional"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Universitario de la Policía Federal Argentina"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Universitario de Salud Mental"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Universitario de Seguridad Marítima"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Universitario del Hospital Italiano"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Universitario IDEA"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Universitario ISEDET"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Universitario Nacional del Arte"	"Buenos Aires"	"Buenos Aires"	"AR"
"Instituto Universitario Naval"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad Abierta Interamericana"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad Argentina de la Empresa"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad Austral"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad CAECE"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad Católica Argentina"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad de Belgrano"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad de Buenos Aires"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad de Ciencias Empresariales y Sociales"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad de Flores"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad de la Marina Mercante"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad de Palermo"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad del CEMA"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad del Cine"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad del Museo Social Argentino"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad del Salvador"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad Favaloro"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad ISALUD"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad J. F. Kennedy"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad Maimónides"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad Notarial Argentina"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad Popular Madres de Plaza de Mayo"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad Tecnológica Nacional"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad Torcuato Di Tella"	"Buenos Aires"	"Buenos Aires"	"AR"
"Universidad de Ciencias Empresariales y Sociales"	"Cañuelas"	"Buenos Aires"	"AR"
"Universidad Atlántida Argentina"	"Dolores"	"Buenos Aires"	"AR"
"Universidad Nacional de La Matanza"	"La Matanza"	"Buenos Aires"	"AR"
"Universidad Católica de La Plata"	"La Plata"	"Buenos Aires"	"AR"
"Universidad del Este"	"La Plata"	"Buenos Aires"	"AR"
"Universidad Nacional de La Plata"	"La Plata"	"Buenos Aires"	"AR"
"Universidad Notarial Argentina"	"La Plata"	"Buenos Aires"	"AR"
"Universidad J. F. Kennedy"	"Lanús"	"Buenos Aires"	"AR"
"Universidad Nacional de Lanús"	"Lanús"	"Buenos Aires"	"AR"
"Universidad de Buenos Aires"	"Lobos"	"Buenos Aires"	"AR"
"Universidad Nacional de Lomas de Zamora"	"Lomas de Zamora"	"Buenos Aires"	"AR"
"Universidad Nacional de Luján"	"Luján"	"Buenos Aires"	"AR"
"Universidad Nacional de Gral. Sarmiento"	"Malvinas Argentinas"	"Buenos Aires"	"AR"
"Universidad FASTA"	"Mar de Plata"	"Buenos Aires"	"AR"
"Universidad CAECE"	"Mar del Plata"	"Buenos Aires"	"AR"
"Universidad Nacional de Mar del Plata"	"Mar del Plata"	"Buenos Aires"	"AR"
"Universidad de Buenos Aires"	"Moreno"	"Buenos Aires"	"AR"
"Universidad La Clave"	"Moreno"	"Buenos Aires"	"AR"
"Universidad de Morón"	"Morón"	"Buenos Aires"	"AR"
"Universidad Tecnológica Nacional"	"Morón"	"Buenos Aires"	"AR"
"Universidad Provincial del Sudoeste"	"Pigüe"	"Buenos Aires"	"AR"
"IAE Business School"	"Pilar"	"Buenos Aires"	"AR"
"Universidad Austral"	"Pilar"	"Buenos Aires"	"AR"
"Universidad del Salvador"	"Pilar"	"Buenos Aires"	"AR"
"Universidad Nacional de Quilmes"	"Quilmes"	"Buenos Aires"	"AR"
"Universidad Nacional del Oeste"	"San Antonio de Padua"	"Buenos Aires"	"AR"
"Universidad de San Andrés"	"San Fernando"	"Buenos Aires"	"AR"
"Universidad CAECE"	"San Isidro"	"Buenos Aires"	"AR"
"Universidad de Buenos Aires"	"San Isidro"	"Buenos Aires"	"AR"
"Universidad J. F. Kennedy"	"San Isidro"	"Buenos Aires"	"AR"
"Universidad Nacional de Gral. San Martín"	"San Martín"	"Buenos Aires"	"AR"
"Universidad Tecnológica Nacional"	"Tigre"	"Buenos Aires"	"AR"
"Universidad Nacional de Tres de Febrero"	"Tres de Febrero"	"Buenos Aires"	"AR"
"Univ. de Ciencias Empresariales y Sociales"	"Vicente López"	"Buenos Aires"	"AR"
"Universidad Nacional de Catamarca"	"San Fernando del Valle de Catamarca"	"Catamarca"	"AR"
"Universidad Nacional del Nordeste"	"Resistencia"	"Chaco"	"AR"
"Universidad Tecnológica Nacional"	"Resistencia"	"Chaco"	"AR"
"Universidad Nacional del Chaco Austral"	"Sáenz Peña"	"Chaco"	"AR"
"Universidad Nacional de la Patagonia San Juan Bosco"	"Comodoro Rivadavia"	"Chubut"	"AR"
"Universidad Nacional del Comahue"	"Esquel"	"Chubut"	"AR"
"Universidad Tecnológica Nacional"	"Puerto Madryn"	"Chubut"	"AR"
"Universidad Nacional de Villa María"	" Villa María"	"Córdoba"	"AR"
"Instituto Universitario Aeronáutico"	"Córdoba"	"Córdoba"	"AR"
"Universidad Blas Pascal"	"Córdoba"	"Córdoba"	"AR"
"Universidad Católica de Córdoba"	"Córdoba"	"Córdoba"	"AR"
"Universidad Nacional de Córdoba"	"Córdoba"	"Córdoba"	"AR"
"Universidad Nacional de Río Cuarto"	"Córdoba"	"Córdoba"	"AR"
"Universidad Empresarial Siglo XXI"	"Río Cuarto"	"Córdoba"	"AR"
"Universidad Tecnológica Nacional"	"Villa María"	"Córdoba"	"AR"
