Brazil|ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)|Arq Bras Cir Dig|ABCD, arq. bras. cir. dig.|abcd|0102-6720|0102-6720||Colégio Brasileiro de Cirurgia Digestiva
Spain|Acción Psicológica||Acción psicol.|acp|1578-908X|1578-908X||Universidad Nacional de Educación a Distancia (UNED)
Cuba|ACIMED||ACIMED|aci|1024-9435|1024-9435|1561-2880|Centro Nacional de Información de Ciencias Médicas
Colombia|Acta Agronómica||Acta Agron.|acag|0120-2812|0120-2812||Universidad Nacional de Colombia
Brazil|Acta Amazonica||Acta Amaz.|aa|0044-5967|0044-5967||Instituto Nacional de Pesquisas da Amazônia
Chile|Acta bioethica||Acta bioeth.|abioeth|1726-569X||1726-569X|Centro Interdisciplinario de Estudios en Bioética, Universidad de Chile
Colombia|Acta Biológica Colombiana||Acta biol.Colomb.|abc|0120-548X|0120-548X||Universidad Nacional de Colombia, Facultad de Ciencias, Departamento de Biología
Argentina|Acta bioquímica clínica latinoamericana||Acta bioquím. clín. latinoam.|abcl|0325-2957|0325-2957|1851-6114|Federación Bioquímica de la Provincia de Buenos Aires
Brazil|Acta Botanica Brasilica||Acta Bot. Bras.|abb|0102-3306|0102-3306||Sociedade Botânica do Brasil
Mexico|Acta botánica mexicana||Act. Bot. Mex|abm|0187-7151|0187-7151||Instituto de Ecología A.C., Centro Regional del Bajío
Brazil|Acta Cirurgica Brasileira|Acta Cir Bras|Acta Cir. Bras.|acb|0102-8650|0102-8650|1678-2674|Sociedade Brasileira para o Desenvolvimento da Pesquisa em Cirurgia
Colombia|Acta Colombiana de Psicología||Act.Colom.Psicol.|acp|0123-9155|0123-9155||Universidad Catolica de Colombia
Mexico|Acta de investigación psicológica||Acta de investigación psicol|aip|2007-4832|2007-4832|2007-4719|Universidad Nacional Autónoma de México, Facultad de Psicología
Brazil|Acta Limnologica Brasiliensia||Acta Limnol. Bras.|alb|2179-975X||2179-975X|Associação Brasileira de Limnologia
Chile|Acta literaria||Acta lit.|actalit|0717-6848||0717-6848|Universidad de Concepción. Facultad de Humanidades y Arte. Departamento de Español
Colombia|Acta Medica Colombiana||Acta Med Colomb|amc|0120-2448|0120-2448||Asociacion Colombiana de Medicina Interna
