Pepsic|A Peste : Revista de Psicanálise e Sociedade||A Peste, Rev. Psicanál. Soc.|apeste|2175-6104|1775-1851|2175-6104|Universidade de São Paulo e Pontifícia Universidade Católica de São Paulo
Spain|A||a|psi|2173-4712||2173-4712|Colegio Oficial de Psicólogos de Madrid
Brazil|ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)|Arq Bras Cir Dig|ABCD, arq. bras. cir. dig.|abcd|0102-6720|0102-6720|2317-6326|Colégio Brasileiro de Cirurgia Digestiva|by-nc/4.0
Spain|Acción Psicológica||Acción psicol.|acp|1578-908X|1578-908X||Universidad Nacional de Educación a Distancia (UNED)|by/4.0
Cuba|ACIMED||ACIMED|aci|1024-9435|1024-9435|1561-2880|Centro Nacional de Información de Ciencias Médicas|by-nc/4.0
Colombia|Acta Agronómica||Acta Agron.|acag|0120-2812|0120-2812||Universidad Nacional de Colombia|by/4.0
Brazil|Acta Amazonica||Acta Amaz.|aa|0044-5967|0044-5967|1809-4392|Instituto Nacional de Pesquisas da Amazônia|by-nc/4.0
Chile|Acta bioethica||Acta bioeth.|abioeth|1726-569X||1726-569X|Centro Interdisciplinario de Estudios en Bioética, Universidad de Chile|by/4.0
Colombia|Acta Biológica Colombiana||Acta biol.Colomb.|abc|0120-548X|0120-548X||Universidad Nacional de Colombia, Facultad de Ciencias, Departamento de Biología|by/4.0
Argentina|Acta bioquímica clínica latinoamericana||Acta bioquím. clín. latinoam.|abcl|0325-2957|0325-2957|1851-6114|Federación Bioquímica de la Provincia de Buenos Aires|by-nc/4.0
Brazil|Acta Botanica Brasilica||Acta Bot. Bras.|abb|0102-3306|0102-3306|1677-941X|Sociedade Botânica do Brasil|by/4.0
Mexico|Acta botánica mexicana||Act. Bot. Mex|abm|0187-7151|0187-7151||Instituto de Ecología A.C., Centro Regional del Bajío|by-nc/3.0
Venezuela|Acta Botánica Venezuelica||Acta Bot. Venez.|abv|0084-5906|0084-5906||Fundación Instituto Botánico de Venezuela Dr. Tobías Lasser
Brazil|Acta Cirurgica Brasileira|Acta Cir Bras|Acta Cir. Bras.|acb|0102-8650|0102-8650|1678-2674|Sociedade Brasileira  para o Desenvolvimento da Pesquisa em Cirurgia|by/4.0
Colombia|Acta Colombiana de Psicología||Act.Colom.Psicol.|acp|0123-9155|0123-9155||Universidad Catolica de Colombia
South Africa|Acta Commercii||Acta Commer.|acom|1684-1999|1684-1999|1680-7537|University of Johannesburg|by-nc/4.0
Pepsic|Acta Comportamentalia||Acta comport.|actac|0188-8145|0188-8145||Universidad de Guadalajara|by-nc/4.0
Mexico|Acta de investigación psicológica||Acta de investigación psicol|aip|2007-4832|2007-4832|2007-4719|Universidad Nacional Autónoma de México, Facultad de Psicología|by-nc/3.0
Brazil|Acta Limnologica Brasiliensia||Acta Limnol. Bras.|alb|2179-975X||2179-975X|Associação Brasileira de Limnologia|by-nc/4.0
Chile|Acta literaria||Acta lit.|actalit|0717-6848||0717-6848|Universidad de Concepción. Facultad de Humanidades y Arte. Departamento de Español|by-nc/4.0
Colombia|Acta Medica Colombiana||Acta Med Colomb|amc|0120-2448|0120-2448||Asociacion Colombiana de Medicina Interna
Costa Rica|Acta Médica Costarricense||Acta méd. costarric|amc|0001-6002|0001-6002|0001-6012|Colegio de Médicos y Cirujanos de Costa Rica|by-nc/3.0
Peru|Acta Médica Peruana||Acta méd. peruana|amp|1728-5917||1728-5917|Colegio Médico del Perú|by-nc/4.0
Colombia|Acta Neurológica Colombiana||Acta Neurol Colomb.|anco|0120-8748|0120-8748||Asociación Colombiana de Neurología|by-nc/4.0
