10.1590/1414-431X20122388|S0100-879X2013005002388
10.1590/1414-431X20121956|S0100-879X2013005001956
10.1590/1414-431X20122263|S0100-879X2013005002263
10.1590/S0100-879X2012007500155|S0100-879X2012007500155
10.1590/S0100-879X2012007500157|S0100-879X2012007500157
10.1590/1414-431X20122434|S0100-879X2013005002434
10.1590/1414-431X20122409|S0100-879X2013005002409
10.1590/S0100-879X2012007500167|S0100-879X2012007500167
10.1590/1414-431X20121423|S0100-879X2013005001423
10.1590/1414-431X20122451|S0100-879X2013005002451
10.1590/1414-431X20122449|S0100-879X2013005002449
10.1590/1414-431X20122477|S0100-879X2013005002477

